,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
225,2,3,1,30,11,18
226,0,0,1,0,1,13
227,1,5,0,7,0,0
228,1,1,3,4,47,74
229,1,1,1,7,15,0
230,0,0,2,0,7,7
231,1,1,1,5,1,7
232,2,1,1,26,13,0
233,1,2,2,14,4,16
234,0,8,8,42,34,0
235,0,0,0,0,0,0
236,0,0,2,0,2,19
237,0,0,0,0,16,20
238,1,1,2,0,0,0
239,1,5,2,17,6,35
240,2,1,0,14,0,0
241,1,3,0,30,0,21
242,0,0,2,0,14,16
243,2,1,0,0,0,0
244,0,0,0,0,0,0
245,0,0,2,0,2,7
246,0,0,3,0,25,24
247,1,3,1,3,3,10
248,0,0,0,3,3,3
249,2,0,1,1,4,8
250,1,2,0,0,0,0
251,0,2,2,13,27,14
252,1,0,0,2,2,2
253,2,3,2,14,6,14
254,0,0,1,0,7,0
255,0,0,1,0,1,2
256,2,1,0,5,0,0
257,0,0,1,0,0,0
258,0,0,2,0,6,3
259,0,0,2,0,4,14
260,0,1,1,10,10,0
261,0,1,1,3,3,0
262,1,2,3,9,36,27
263,0,0,4,0,0,0
264,0,0,0,0,0,10
265,0,0,1,0,0,0
266,1,0,2,22,14,33
267,2,0,1,14,19,26
268,0,0,0,0,0,0
269,1,1,1,2,3,0
270,2,0,0,5,5,14
271,0,0,1,0,1,3
272,1,1,1,0,0,0
273,1,5,0,10,0,5
274,3,1,0,1,0,2
275,1,1,1,2,5,9
276,0,0,7,0,3,0
277,0,0,1,0,2,7
278,0,0,1,0,24,20
279,1,3,0,6,0,0
280,2,0,0,2,0,2
281,2,1,0,10,0,0
282,0,2,2,10,8,12
283,0,1,1,2,7,6
284,1,1,1,0,3,1
285,0,0,0,0,0,0
286,0,0,0,0,1,1
287,0,0,2,0,8,15
288,0,0,0,0,0,0
289,1,0,1,1,0,1
290,0,0,2,0,4,2
291,0,4,4,14,28,40
292,2,1,0,2,0,5
293,0,0,0,0,0,11
294,2,1,0,21,0,12
295,0,0,0,0,0,11
296,0,0,1,0,8,9
297,0,3,3,5,8,3
298,0,0,0,0,0,11
299,2,2,3,18,9,9
300,0,4,4,1,1,0
301,0,0,2,0,9,0
302,1,1,1,2,0,1
303,0,0,4,0,22,33
304,2,3,0,11,0,3
305,0,0,7,0,41,20
306,0,2,2,5,2,4
307,1,2,1,1,7,6
308,1,4,0,13,0,0
309,1,1,4,11,12,1
310,0,0,0,0,0,10
311,0,0,2,0,0,2
312,1,0,3,1,0,1
313,0,0,0,0,0,14
314,0,0,0,0,0,0
